ID,DOT,Question,Answer1,Answer2,Answer3,Answer4,CorrectAnswer,Category,Subcategory,Explanation,MustInclude,Difficulty,Language,Region,Product,PresenterContent,ContentSlide,JeopardyBoard,Reserved3,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Reserved11,Reserved12,Reserved13,Reserved14,Reserved15
10064,,Which filing status can result in a HIGHER percentage of Social Security benefits being taxable than other statuses at the same income level?,Married Filing Separately while living with the spouse,Single,Head of Household,Qualifying Surviving Spouse,1,Retirement Accounts & Distributions,Social Security Taxability,Married Filing Separately taxpayers who lived with their spouse during the year face less favorable Social Security taxability thresholds than other filing statuses.,0,3,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10065,,Can an individual own and contribute to multiple Traditional and Roth IRAs at the same time?,Yes,No - only one IRA is allowed per person,Only if they are self-employed,Only after age 50,1,Retirement Accounts & Distributions,IRA Basics,"An individual can own and contribute to multiple IRAs of either type simultaneously, subject to the combined annual contribution limit.",0,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10066,,Can a contribution be designated for the previous tax year even after that year has ended?,"Yes, up until the tax return filing deadline","No, contributions must be made within the calendar year they're for","Only for Roth IRAs, not Traditional",Only if an extension was filed,1,Retirement Accounts & Distributions,IRA Basics,IRA contributions can be designated for the prior tax year up until the filing deadline for that year's return.,0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10067,,Which of the following counts as compensation for IRA contribution purposes?,Self-employment earnings,Investment income,Pension income,Excluded foreign-earned income,1,Retirement Accounts & Distributions,Compensation for IRA Purposes,"Compensation for IRA purposes generally means earned income such as wages, commissions, and self-employment earnings - not investment income, pensions, or excluded foreign-earned income.",1,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10068,,Is taxable alimony income considered compensation for IRA contribution purposes?,"Only if from a divorce/separation agreement executed on or before December 31, 2018 and not modified to adopt post-2017 rules",Always considered compensation regardless of when the agreement was executed,Never considered compensation,Only for agreements executed after 2018,1,Retirement Accounts & Distributions,Compensation for IRA Purposes,Alimony counts as IRA compensation only under pre-2019 divorce/separation agreement rules; agreements executed or modified after that date are excluded.,0,3,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10069,,Is nontaxable combat pay treated as compensation for IRA contribution purposes?,Yes - it is a specific exception treated as compensation,No - only taxable income counts,Only for Roth IRAs,"Only for reservists, not active duty",1,Retirement Accounts & Distributions,Compensation for IRA Purposes,"Nontaxable combat pay is a specific IRS exception and IS treated as compensation for IRA purposes, despite not being taxable income.",0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10070,,Which statement correctly distinguishes a Traditional IRA from a Roth IRA?,Traditional IRA contributions may be tax-deductible; Roth IRA contributions are never tax-deductible,Roth IRA contributions are always tax-deductible; Traditional IRA contributions never are,Both are always fully deductible,Neither type allows any tax deduction,1,Retirement Accounts & Distributions,Traditional vs Roth,Traditional IRA contributions may be deductible (subject to limits); Roth IRA contributions can never be deducted.,1,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10071,,"A taxpayer contributed $3,000 to her Traditional IRA and $2,000 to her Roth IRA. Why was her gross income only adjusted by $3,000?","Roth IRA contributions are never tax deductible, so only the Traditional IRA contribution reduces income",The Roth contribution was over the limit,Only contributions made in December count,Roth contributions require a separate form,1,Retirement Accounts & Distributions,Traditional vs Roth,"Since Roth contributions are never deductible, only the $3,000 Traditional IRA contribution can adjust (reduce) taxable income.",0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10072,,What must a taxpayer do to avoid the excise tax penalty on an excess IRA contribution?,Withdraw the excess contribution plus any earnings on it by the tax return filing deadline (including extensions),Simply leave the excess in the account and pay it off over time,Convert the excess to a Roth IRA,Report it as ordinary income with no other action needed,1,Retirement Accounts & Distributions,Excess Contributions,The excess contribution plus earnings must be withdrawn by the filing deadline (or extended deadline) to avoid the excise tax penalty.,1,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10073,,"What excise tax rate applies to an excess IRA contribution that is not withdrawn by the filing deadline, and how often is it assessed?","6%, assessed each year the excess remains in the IRA","10%, assessed once","25%, assessed each year","There is no excise tax, only ordinary income tax",1,Retirement Accounts & Distributions,Excess Contributions,"A 6% excise tax applies to an uncorrected excess contribution, and it is assessed each year the excess remains in the account.",1,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10074,,"For 2024 and 2025, what is the combined Traditional + Roth IRA contribution limit for someone under age 50?","$7,000 ","$6,500 ","$7,500 ","$8,000 ",1,Retirement Accounts & Distributions,Contribution Limits,"The 2024/2025 combined IRA contribution limit is $7,000 under age 50 ($8,000 with the age-50+ catch-up).",1,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10075,,"A married couple wants to contribute to IRAs but one spouse has no earned income for the year. Under the spousal IRA rule, is this allowed?","Yes, as long as they file jointly and the working spouse's compensation covers both contributions","No, both spouses must have their own earned income",Only if the non-working spouse is over 50,Only if they file separately,1,Retirement Accounts & Distributions,Contribution Limits,The spousal IRA rule allows a non-working or low-earning spouse to contribute as long as the couple files jointly and the working spouse's compensation is sufficient to cover both contributions.,1,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10076,,"A 62-year-old retiree had wages of $4,200 before retiring, plus $28,000 in retirement plan distributions, $1,200 in dividends, and a $600 state refund. Using 2023 limits, how much can she contribute to an IRA?","$4,200 - only her wages count as compensation, even though she'd otherwise qualify for a higher catch-up limit","$7,500, the full 50+ catch-up limit","$28,000, based on her total income","$0, since she is retired",1,Retirement Accounts & Distributions,Contribution Limits,"Only wages count as compensation for IRA purposes; retirement distributions, dividends, and refunds do not. Her contribution is capped at the lesser of the limit or her actual compensation ($4,200).",0,3,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10077,,Is there a minimum age requirement to contribute to an IRA?,No - eligibility depends only on having earned compensation for the year,"Yes, the contributor must be at least 18","Yes, the contributor must be at least 21","Yes, the contributor must be at least 16",1,Retirement Accounts & Distributions,Contribution Limits,There is no minimum age to contribute to an IRA; a minor with earned income (such as self-employment or wage income) can contribute.,0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10078,,"A 17-year-old earns $3,500 in self-employment profit from a lawn-mowing business and $15 in savings account interest. How much can he contribute to an IRA?","$3,500 - the interest is not compensation, and there is no minimum age to contribute","$3,515, including the interest","$0, because he is a minor","$15, since only unearned income under his own name counts",1,Retirement Accounts & Distributions,Contribution Limits,"Self-employment profit is compensation for IRA purposes; the $15 in interest is not. His contribution is capped at his $3,500 in actual compensation.",0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10079,,Do contributions to a 401(k) count against an individual's IRA contribution limit?,No - the 401(k) has its own separate limit that does not combine with the IRA limit,"Yes, they share the same combined limit","Only if the 401(k) contribution exceeds $10,000",Only for self-employed individuals,1,Retirement Accounts & Distributions,Contribution Limits,A 401(k) has its own separate employer-plan contribution limit; it does not reduce or combine with the Traditional/Roth IRA contribution limit.,1,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10080,,"A married couple filing jointly, both covered by workplace retirement plans, has combined income of $145,000. Using the course's $136,000 full phase-out ceiling for this scenario, how much of a $2,000 Traditional IRA contribution can be deducted?","$0 - income is above the $136,000 ceiling where both spouses are covered by a workplace plan and file MFJ","The full $2,000","$1,000, a partial deduction",It depends only on the Roth contribution amount,1,Retirement Accounts & Distributions,Traditional IRA Deduction Limits,"When both spouses are covered by a workplace plan and file MFJ, no Traditional IRA deduction is allowed once income reaches the phase-out ceiling ($136,000 per the course's chart) - here, $145,000 exceeds that ceiling.",0,3,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10081,,What is a 'conversion' in the context of IRAs?,Transferring funds from a Traditional IRA to a Roth IRA,Moving funds between two Traditional IRAs,Moving funds between two 401(k) plans,Withdrawing IRA funds to pay off debt,1,Retirement Accounts & Distributions,Roth Conversions,"A conversion specifically refers to transferring funds from a Traditional IRA to a Roth IRA, which is taxed differently than a same-type rollover.",0,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10082,,Is there an income limit on who can convert a Traditional IRA to a Roth IRA?,"No - since 2010, anyone can convert regardless of income, though income limits still apply to direct Roth contributions","Yes, the same income limits as Roth contributions apply","Yes, only taxpayers under $100,000 MAGI can convert",Conversions are only allowed for taxpayers over age 59 1/2,1,Retirement Accounts & Distributions,Roth Conversions,"As of 2010, there is no income limit on Roth conversions, even though income limits still restrict who can make direct Roth IRA contributions.",0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10083,IRS Form 8606,Which form must be completed whenever a taxpayer makes a nondeductible contribution to a Traditional IRA?,Form 8606,Form 8889,Form 4972,Form 2210,1,Retirement Accounts & Distributions,Roth Conversions,Form 8606 tracks nondeductible Traditional IRA contributions so they are not taxed again upon distribution or conversion.,0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10084,,"When a Traditional IRA containing nondeductible contributions is converted to a Roth IRA, what portion is taxable?",Only the previously untaxed portion (deductible contributions plus earnings); the nondeductible contributions are not taxed again,The entire converted amount is taxable,None of the converted amount is taxable,Only the earnings portion accrued in the current year,1,Retirement Accounts & Distributions,Roth Conversions,"Nondeductible contributions were never deducted, so they are not taxed again at conversion; only the previously untaxed (deductible + earnings) portion is taxable.",0,3,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10085,,What two conditions must generally both be met for a Roth IRA distribution to be 'qualified' (tax-free)?,"The 5-year rule, AND one of: age 59 1/2+, disability, death/beneficiary distribution, or a qualified first-time homebuyer amount up to $10,000",Only that the account has existed for at least 1 year,Only that the owner is over age 59 1/2,Only that the funds are used for education expenses,1,Retirement Accounts & Distributions,Roth IRA Qualified Distributions,"A qualified Roth distribution requires satisfying the 5-year rule plus at least one qualifying condition: age 59 1/2+, disability, death, or a first-time homebuyer amount up to $10,000 lifetime.",1,3,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10086,,What happens to a non-qualified Roth IRA earnings distribution?,"It is subject to income tax and an additional 10% penalty, with some exceptions",It is always completely tax-free,It is taxed but never penalized,It is penalized but never taxed,1,Retirement Accounts & Distributions,Roth IRA Qualified Distributions,"A non-qualified distribution of Roth earnings is subject to income tax and a 10% additional tax, subject to certain exceptions.",0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10087,,Which of these is an exception to the 10% additional tax on an early Roth/IRA distribution?,Unreimbursed medical expenses exceeding 7.5% of AGI,Paying off a credit card,A routine home improvement,Funding a vacation,1,Retirement Accounts & Distributions,10% Penalty Exceptions,"Unreimbursed medical expenses over 7.5% of AGI is one of the recognized exceptions, alongside SEPP, unemployment-related health premiums, education expenses, an IRS levy, and reservist distributions.",0,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10088,,What is required to be eligible to contribute to an HSA?,"Coverage under a High Deductible Health Plan (HDHP), no other health coverage, not enrolled in Medicare, and not a dependent",Any health insurance plan qualifies,Enrollment in Medicare and an HDHP together,Being claimed as a dependent on someone else's return,1,Health Savings Accounts,HSA Eligibility,"HSA eligibility requires HDHP coverage, no other disqualifying health coverage, no Medicare enrollment, and not being claimed as a dependent.",1,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10089,,Can a married couple share a single joint HSA?,No - each spouse must open a separate HSA,"Yes, joint HSAs are allowed and common",Only if both spouses are on the same HDHP,Only if they file jointly,1,Health Savings Accounts,HSA Rules,HSAs cannot be jointly owned - each spouse must open their own separate account.,1,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10090,,What is the HSA catch-up contribution amount for individuals age 55 or older?,"$1,000 ","$3,000 ",$500 ,"$7,000 ",1,Health Savings Accounts,HSA Contributions,"Eligible individuals age 55+ by year-end can make an additional $1,000 catch-up HSA contribution.",0,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10091,,"For a self-employed individual's HSA, which form of contribution is NOT allowed?",Contributions of stock or property,Cash contributions from the individual,Cash contributions from a family member,Cash contributions from any other person,1,Health Savings Accounts,HSA Contributions,HSA contributions must be in cash; contributions of stock or property are not allowed.,0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10092,,Which of the following accounts is reported on Form 1099-SA?,Health Savings Account (HSA),Traditional IRA,401(k),Roth IRA,1,Health Savings Accounts,Form 1099-SA,"Form 1099-SA reports distributions from HSAs, Archer MSAs, and Medicare Advantage MSAs. IRA distributions are reported on Form 1099-R instead.",1,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10093,,What does the Gross Distribution field (Box 1) on Form 1099-SA represent?,The total amount distributed from the HSA during the year,The total contributions made to the account,The account's year-end balance,Overall gross income for the year,1,Health Savings Accounts,Form 1099-SA,"Box 1 (Gross Distribution) shows the total amount distributed from the HSA during the year, not contributions or gross income.",0,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10094,,"When an HSA account holder dies and the funds do not pass to a surviving spouse, what does Box 4 of Form 1099-SA report?",The fair market value (FMV) of the HSA on the date the account holder died,The FMV on the last day of the tax year,The FMV on the date the account was opened,The total lifetime contributions,1,Health Savings Accounts,Form 1099-SA,Box 4 captures the FMV of the account as of the date of death (only completed when funds don't pass to a surviving spouse) - not the last day of the tax year.,1,3,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10095,,An account holder withdraws an excess HSA contribution plus its earnings before the filing deadline. How should the earnings be treated?,Included as taxable income on the return for the year withdrawn,Omitted from income entirely,Treated as a nontaxable return of basis,"Reported only if over $1,000",1,Health Savings Accounts,Excess Contributions,"When excess contributions are withdrawn before the deadline, the excess itself isn't taxed again, but any earnings that accrued are taxable income in the year withdrawn.",0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10096,,Which of the following is NOT a qualified medical expense for HSA purposes?,Dental floss,Chiropractic care,Laboratory fees,Insulin,1,Health Savings Accounts,Qualified Medical Expenses,"Dental floss (like aromatherapy, cosmetics, and general personal-care items) is not a qualified medical expense, while laboratory fees, chiropractic care, and insulin all qualify.",1,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10097,IRS Form 8889,"Which form must be filed with Form 1040 for HSA distributions, even if the distribution is not taxable?",Form 8889,Form 8606,Form 2210,Form 4972,1,Health Savings Accounts,Required Forms,Form 8889 (Health Savings Accounts) must be filed with Form 1040/1040-SR for HSA distributions regardless of taxability; Form 8853 covers Archer MSAs.,0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10098,,What is the first question in determining a taxpayer's filing status?,Was the taxpayer married on the last day of the year?,Does the taxpayer have any dependents?,What is the taxpayer's total income?,Did the taxpayer itemize last year?,1,Filing Basics & Dependents,Determining Filing Status,The filing status decision tree begins by asking whether the taxpayer was married as of December 31 of the tax year.,1,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10099,,How many filing statuses does the IRS recognize?,"Six: Single, MFJ, MFS, Head of Household, Qualifying Surviving Spouse, and Dependent",Four,Three,"Five, since Dependent is not a real filing status",1,Filing Basics & Dependents,Filing Status Options,"The six filing statuses are Single, Married Filing Jointly, Married Filing Separately, Head of Household, Qualifying Surviving Spouse, and the less common Dependent status.",0,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10100,,A married couple lived apart for the last 6 months of the year. What must be true for one spouse to qualify as Head of Household?,"They must pay more than half the household costs, be considered unmarried on Dec 31, and have a qualifying child dependent",Simply living apart for 6 months automatically qualifies them,They must have been divorced by year end,Both spouses must agree to file separately,1,Filing Basics & Dependents,Head of Household,"All three Head of Household criteria (paying more than half the household costs, being 'considered unmarried,' and having a qualifying child dependent) must be met.",1,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10101,,"To be 'considered unmarried' for Head of Household purposes, a taxpayer must NOT have done which of the following?",Lived with their spouse during the last 6 months of the year,Filed a separate tax return,Paid more than half the cost of the home,Claimed a qualifying child as a dependent,1,Filing Basics & Dependents,Head of Household - 'Considered Unmarried',"Being 'considered unmarried' requires NOT living with the spouse during the last 6 months of the year, along with filing separately, paying over half the home costs, and having a qualifying child.",0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10102,,How many criteria must ALL be met for a taxpayer to qualify for Qualifying Surviving Spouse status?,"All 5: joint-return eligibility in the year of death, spouse died within the prior 2 years, has a qualifying dependent, has not remarried, and paid over half the household costs",Only 2 of the 5 criteria,Only that the spouse died within the tax year itself,Only that they have a qualifying child,1,Filing Basics & Dependents,Qualifying Surviving Spouse,"All five Qualifying Surviving Spouse criteria must be met - if any answer is No, the taxpayer does not qualify for this status.",0,3,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10103,,"If one spouse chooses to file Married Filing Separately, what must the other spouse do?",The other spouse must also file separately,The other spouse may still file jointly,The other spouse must file as Single,The other spouse must file as Head of Household,1,Filing Basics & Dependents,Married Filing Separately,"If one spouse files MFS, both spouses must file separately - they cannot mix MFS and MFJ.",0,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10104,,Which of these situations qualifies a taxpayer to file as Single?,Never having been married,Being married but living apart from a spouse,Having a qualifying child and paying over half the household costs while unmarried,Being widowed with a qualifying child (which points to Qualifying Surviving Spouse instead),1,Filing Basics & Dependents,Single Status Criteria,"Never having been married is one of the qualifying conditions for Single status (along with being divorced, legally separated, or widowed without a qualifying child before Jan 1 of the tax year, or not qualifying for another status).",0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10105,,"To be considered legally separated for federal tax purposes, what must a taxpayer have by December 31 of the tax year?",A final decree of legal separation or separate maintenance,A signed but not yet finalized separation agreement,Simply living in a different residence,Verbal agreement with the spouse to separate,1,Filing Basics & Dependents,Legal Separation & Community Property,A final decree of legal separation or separate maintenance by December 31 allows filing as Single or Head of Household (if other requirements are met).,0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10106,,"If spouses lived apart for only PART of the tax year in a community property state, how is income earned while they lived together treated?",It is community income and must be split equally between the spouses,It belongs entirely to whoever earned it,It can be disregarded entirely,It is automatically assigned to the higher earner,1,Filing Basics & Dependents,Legal Separation & Community Property,"When spouses live apart for only part of the year, community property law generally still applies to income earned while they lived together, requiring an equal split.",0,3,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10107,,"Generally, is Married Filing Jointly or Married Filing Separately more beneficial for a married couple?","Filing jointly is generally more beneficial, and some credits are disallowed for MFS filers",Filing separately is always more beneficial,Both produce identical results in all cases,It depends only on which spouse earns more,1,Filing Basics & Dependents,Married Couples Filing Choice,"Filing jointly is generally more beneficial to taxpayers, and certain credits are potentially disallowed for couples who file Married Filing Separately.",0,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10108,,A green card holder who also passes the Substantial Presence Test would be classified as which type of taxpayer?,Resident alien,Nonresident alien,Dual-status alien,Exempt individual,1,Residency & Multi-State Filing,Alien Tax Residency Categories,"A lawful permanent resident (green card holder) qualifies as a resident alien on that basis alone, independent of also passing the Substantial Presence Test.",0,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10109,,"A non-U.S. citizen moves back to their home country partway through the year, being a resident alien for part of the year and a nonresident alien for the rest. What is their status?",Dual-status alien,Resident alien for the full year,Nonresident alien for the full year,Exempt individual,1,Residency & Multi-State Filing,Alien Tax Residency Categories,A dual-status alien is a resident alien for part of the year and a nonresident alien for the other part.,0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10110,,"A U.S. citizen lives and works full-time in France, earning $85,000. Must she file a U.S. tax return?",Yes - U.S. citizens are taxed on worldwide income regardless of where they live or work,No - living abroad exempts her from U.S. filing,"Only if she earns over $200,000",Only if France has no tax treaty with the U.S.,1,Residency & Multi-State Filing,U.S. Citizens Abroad,U.S. citizens are taxed on worldwide income regardless of residence; living abroad does not exempt a citizen from U.S. filing obligations.,1,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10111,,"Even when not required to file, why might a taxpayer still want to file a return?",To get a refund of any federal income tax that was withheld,It is illegal not to file voluntarily,To avoid an automatic penalty,Only to claim dependents,1,Filing Basics & Dependents,Filing Requirements,A taxpayer below the filing threshold may still want to file to recover withheld federal income tax as a refund.,0,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10112,,What is the general rule for someone to be claimed as a dependent?,"The taxpayer provided at least half of the person's total support for the year, and the person is a qualifying child or qualifying relative",The person must live with the taxpayer year-round,The person must have no income of their own,The person must be under age 18,1,Filing Basics & Dependents,Dependent Definition,"A dependent is a qualifying child or qualifying relative, generally requiring that the taxpayer provided at least half of that person's total support.",1,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10113,,"Under the qualifying child age test, a child can be claimed at any age if they are:","Permanently and totally disabled, per a doctor",Enrolled in any college course,Living independently,Employed full-time,1,Filing Basics & Dependents,Qualifying Child Tests,The age test allows any age if the child is permanently and totally disabled; otherwise the limit is 19 (or 24 if a full-time student for at least 5 months).,0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10114,,"Under the qualifying child support test, what disqualifies a child from being claimed?",The child provides more than half of their own financial support,The child lived with the taxpayer for less than a full year,The child has any income at all,The child is over age 16,1,Filing Basics & Dependents,Qualifying Child Tests,The support test requires that the child NOT provide more than half of their own financial support.,0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10115,,What are the three tests a qualifying relative must meet?,"Relationship (or residency), support, and gross income","Age, residency, and relationship only",Only a gross income test,Only a support test,1,Filing Basics & Dependents,Qualifying Relative Tests,"A qualifying relative must meet a relationship test (broader than the qualifying child version, including anyone who lived with the taxpayer), a support test, and a gross income test.",0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10116,,"If a taxpayer can themselves be claimed as a dependent on someone else's return, what happens to their ability to claim their own dependents?","They cannot claim any dependents of their own, regardless of who those people are",They can still claim minor children only,They can still claim a spouse as a dependent,There is no restriction,1,Filing Basics & Dependents,Can the Taxpayer Be Claimed,"A taxpayer (or spouse, if filing jointly) who can be claimed as a dependent on someone else's return cannot claim any dependents of their own.",0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10117,,"What happens if a qualifying child does not have an SSN, ITIN, or ATIN issued by the return's due date (including extensions)?","The Child Tax Credit and Credit for Other Dependents cannot be claimed for that child, though they may still be claimable as a plain dependent",The child cannot be claimed as a dependent at all,The taxpayer must file an extension automatically,There is no effect on any credit,1,Filing Basics & Dependents,Credit Eligibility (SSN/ITIN),"Without a timely-issued SSN, ITIN, or ATIN, the child cannot generate the Child Tax Credit or Credit for Other Dependents, though they may still count as a dependent for other purposes.",0,3,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10118,,"If a student has scholarship money left over after covering all qualified education expenses, how is the leftover amount treated?",It must be included in the student's gross taxable income,It is always tax-free regardless of use,It reduces the parent's taxable income,It must be returned to the scholarship provider,1,Income,Taxable Scholarship Income,"Scholarship funds not used for qualified education expenses (tuition, required fees, books, supplies) become taxable income.",1,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10119,,Which use of scholarship money makes it taxable?,Room and board,Required tuition,Mandatory enrollment fees,Required course books,1,Income,Taxable Scholarship Income,"Room, board, utilities, and non-required items are non-qualified uses that make the scholarship amount taxable; tuition, required fees, and required books are qualified uses.",0,1,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10120,,"On Form 1098-T, if Box 5 (scholarships) exceeds Box 1 (qualified tuition/expenses), who reports the excess as taxable income?","The student, on the student's own return","The parent, on the parent's return",Neither - it is never taxable,The educational institution,1,Income,Form 1098-T,"While parents usually report the 1098-T information, an excess of scholarship income over qualified expenses is taxable to the student and reported on the student's own return.",0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10121,,"A sole proprietor receives an advance payment for a future project. Under cash-basis accounting (the most common method for individuals), when is this income reported?",When the payment is received,When the project is completed,When materials are purchased,When the invoice is sent,1,Adjustments to Income,Cash-Basis Accounting,"Cash-basis accounting reports income when received, not when earned, invoiced, or when related costs are incurred.",1,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10122,,A taxpayer rents out equipment as a side activity. Is this income taxable?,"Yes, always - though the reporting form depends on whether it rises to the level of a business","No, side rental income under a certain amount is exempt","Only if rented to a business, not an individual","Only if it exceeds $5,000",1,Adjustments to Income,Rental Income Taxability,All rental income is taxable regardless of amount; the only variable is whether it's reported on Schedule E (passive) or Schedule C (a business).,0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10123,IRC §61(a),What does the 'all-inclusive' concept of gross income under IRC Section 61(a) mean?,All income received (earned or unearned) is included in gross income unless the tax law specifically excludes it,Only wages and salary count as gross income,Only cash payments count as gross income,Only income reported on a 1099 counts as gross income,1,Income,Section 61 - All-Inclusive Concept,"Section 61(a) establishes that all income is included in gross income unless specifically excluded by law - not just wages, job income, or cash.",1,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10124,IRC §61(a),Which of the following is one of the categories of gross income listed under IRC Section 61?,Interest,Child support received,Life insurance death proceeds,Municipal bond interest,1,Income,Section 61 Categories,"Interest is one of the 14 enumerated categories under Section 61. Child support, life insurance proceeds, and municipal bond interest are specifically excluded from gross income.",0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10125,,A member of the clergy receives a designated housing allowance reported on her W-2. How is it treated?,"Excluded from gross income for income tax purposes, but subject to Social Security and Medicare taxes",Fully excluded from all taxes including SS/Medicare,Fully taxable like ordinary wages,Excluded only if she itemizes deductions,1,Income,Special Employee Rules,A clergy housing allowance is excluded from income tax but remains subject to Social Security and Medicare (self-employment) tax.,0,3,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10126,,An enlisted Armed Forces member receives combat pay for part of their duties. How is this pay treated?,Exempt from federal income tax,Fully tax-free including exemption from Social Security and Medicare,Fully taxable like regular wages,Tax-free only after 180 days of service,1,Income,Special Employee Rules,"Combat pay for enlisted members is exempt from federal income tax (though it remains subject to Social Security/Medicare, and there is no 180-day requirement for this exemption).",0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10127,,A business partner directs 30% of a taxpayer's earned income to be paid directly to the taxpayer's spouse. Must the taxpayer still report that 30% as income?,Yes - income is taxable to the person who earned it regardless of who actually receives it,"No, since she never physically received the funds","No, since it was paid to a family member","No, if it is treated as a gift",1,Income,Assignment of Income Doctrine,"Under the assignment-of-income doctrine, income is taxable to whoever earned it, regardless of who actually receives the payment.",0,3,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
10128,,A business owner receives a non-cash holiday bonus (merchandise) from a supplier as a thank-you for business. How should this be treated?,"As taxable business income, since it was received in connection with business activities",As a tax-free gift,As taxable only if it exceeds $600,As nontaxable since no cash changed hands,1,Income,Non-Cash Taxable Income,"A non-cash bonus received in connection with business dealings is taxable business income, not a tax-free personal gift.",0,2,English,US,SafePrepIntuitTax,D,0,1,,,,,,,,,,,,,
